,arrival_time,transit_time,rmse_a,rmse_b,hit,w_a,w_b,w_avg
6,2012-11-23 20:55:43.494557,3.1294396823777535,3.7748540421352996,1.7870051296878602,1.0,0.004674970735006625,0.002369571086062759,0.0028156989586141487
7,2012-11-24 01:07:54.969557,3.3045724948777537,2.8061952941742603,0.29282419573953367,1.0,0.006288704215469374,0.014460675543767919,0.012879281972846303
8,2012-11-23 22:22:41.244557,3.1898303073777536,3.898484270444943,1.7633789738212535,1.0,0.004526716270138974,0.0024013191428602187,0.0028126139477128564
9,2012-11-24 23:09:41.185391,4.222468511470039,2.450980631789776,2.288076621802259,1.0,0.007200110823812347,0.0018506529220244509,0.002885849693274573
10,2012-11-24 04:45:19.344557,3.455549057377753,4.045038236169375,1.4790746155680288,1.0,0.0043627108436472785,0.002862895246382129,0.003153131059480227
11,2012-11-24 18:32:58.730685,4.030310470890295,3.026662647833856,2.881532361220904,1.0,0.005830624099628005,0.0014695082876529126,0.0023134466998227876
12,2012-11-23 20:03:32.844557,3.0932053073777532,3.785177966480796,1.7400793880160061,1.0,0.004662219935806954,0.0024334726996462957,0.002864767231758613
13,2012-11-25 08:08:54.819557,4.596931869877754,5.040762120806537,2.7284019576629763,1.0,0.0035009254063114495,0.001551983817509502,0.0019291319467449068
14,2012-11-24 00:07:02.544557,3.2622990573777533,3.54961545901874,1.8865371712096095,1.0,0.004971618018809971,0.0022445546001296913,0.0027722804553174905
15,2012-11-24 02:26:10.944557,3.3589240573777532,6.167676020329502,0.7960198936644507,1.0,0.0028612612137433897,0.005319509876142796,0.004843803528889315
16,2012-11-24 07:04:27.744557,3.5521740573777536,6.157279159025496,0.25645283899953214,1.0,0.002866092590594351,0.016511557066295177,0.013870964126451195
17,2012-11-24 04:36:37.569557,3.4495099948777534,3.3826131480066017,1.3159002061752971,1.0,0.005217070768587206,0.0032179003134756674,0.003604768448211044
18,2012-11-25 09:51:12.586144,4.667970835005546,3.1491129185045907,3.2985482934092025,1.0,0.0056039058085869215,0.001283727054842571,0.0021197435595438825
19,2012-11-24 19:41:02.169557,4.077572494877753,5.306405133943557,2.9760888143180786,1.0,0.0033256661959372553,0.0014228189916853794,0.0017910471968957632
20,2012-11-24 09:16:17.896846,3.6437267459022027,2.915721154229699,1.8677082722499254,1.0,0.0060524759544663045,0.0022671825942352296,0.0029996911094318976
21,2012-11-24 12:43:36.969557,3.7876974948777535,5.555378740842331,2.036279062371074,1.0,0.0031766208928589133,0.002079496746886718,0.002291805992874312
22,2012-11-24 11:25:20.994557,3.7333459323777536,4.788230751360437,1.256489278861042,1.0,0.003685564270454178,0.0033700531768902425,0.0034311090953304687
23,2012-11-25 05:49:46.419557,4.500306869877754,4.089537475899835,2.2690618965146685,1.0,0.004315239138876209,0.0018661613825776968,0.002340093028065247
24,2012-11-24 12:00:08.094557,3.7575021823777535,3.7351641027783127,1.3755385553409134,1.0,0.004724647081175749,0.0030783838588259145,0.0033969593862330544
25,2012-11-23 21:13:07.044557,3.1415178073777534,4.0756397263026365,1.7161452075385129,1.0,0.004329953911778509,0.0024674110718333007,0.002827839804917059
26,2012-11-24 01:51:23.844557,3.3347678073777534,4.58193335449368,1.1328977311070945,1.0,0.0038515034616547986,0.0037377033863561482,0.003759725331884089
27,2012-11-24 05:48:30.981705,3.499433746585169,2.226720677816552,1.5130265015415234,1.0,0.007925256342977142,0.0027986526882642147,0.003790723968807273
28,2012-11-23 19:11:22.194557,3.0569709323777534,2.064994768920248,0.2108861539750221,1.0,0.008545945220544793,0.020079249425051023,0.017847389768699685
29,2012-11-24 05:21:50.583115,3.480910614755507,5.2807601468181575,0.6823429821215289,1.0,0.003341816648600699,0.00620572907892824,0.005651520978696759
30,2012-11-23 14:50:28.944557,2.8757990573777534,2.979608781554065,3.8932235338910197,1.0,0.005922701089201291,0.0010876425792387386,0.0020232956959117024
31,2012-11-24 05:56:37.683115,3.5050668647555074,4.820935425522534,1.316574628686433,1.0,0.003660561824262814,0.0032162519265458932,0.0033022322595058565
32,2012-11-23 16:00:03.144557,2.924111557377753,2.7401260065581394,1.7570652086667677,1.0,0.006440336004135346,0.0024099479433476487,0.0031898857957453693
33,2012-11-24 09:58:23.244557,3.6729553073777534,4.444724810128714,0.49274299595209337,1.0,0.003970399277743574,0.008593598936444092,0.007698943543804795
34,2012-11-23 23:21:14.457410,3.230492493170338,2.875395633001505,0.22789425793327658,1.0,0.006137357925066708,0.018580703719151857,0.016172737972701075
35,2012-11-24 07:39:14.844557,3.5763303073777535,4.863094226891161,1.0592646051916834,1.0,0.0036288279339356812,0.003997524004106533,0.003926176030457482
36,2012-11-24 07:39:14.844557,3.5763303073777535,4.866666544731532,0.7774264706320189,1.0,0.0036261642365878386,0.005446734637825936,0.005094428173171765
37,2012-11-24 02:43:34.494557,3.3710021823777536,2.9192304697114753,0.3772250494126583,1.0,0.006045200048096299,0.011225224020905363,0.010222815143202455
38,2012-11-24 11:44:28.683115,3.7466293647555076,6.2419434014384345,0.5624215048516246,1.0,0.002827217589290737,0.007528936303869273,0.00661908634859974
39,2012-11-23 21:47:54.144557,3.1656740573777533,3.1390524773010524,0.5682482894910381,1.0,0.0056218659304087554,0.0074517350324922816,0.007097629135957585
40,2012-11-24 00:24:26.094557,3.274377182377753,3.7366360545889408,0.337024606433446,1.0,0.0047227859277949764,0.012564173668994047,0.011046752760027447
41,2012-11-23 16:17:26.694557,2.936189682377753,1.333473098814156,0.3939126635495232,1.0,0.013234111877920583,0.010749681535490482,0.011230454413059985
42,2012-11-23 17:27:00.894557,2.9845021823777533,2.4938651448684293,1.17092081170085,1.0,0.00707629769485191,0.003616329681426833,0.004285883079525218
43,2012-11-24 04:10:32.244557,3.4313928073777538,5.585225528100261,1.0057659412250617,1.0,0.003159645405027448,0.004210160149981296,0.004006870491086437
44,2012-11-23 21:13:07.044557,3.1415178073777534,3.4633138292838552,2.358641721057775,1.0,0.0050955047811976975,0.0017952856714733157,0.0024339253672194605
45,2012-11-25 16:40:15.406000,4.95203125,5.553621527226538,4.699796919073756,1.0,0.0031776260030303176,0.0009009826932668219,0.0013415458020572812
46,2012-11-24 15:02:45.369557,3.8843224948777535,4.755444094668718,2.4793219333383307,1.0,0.003710974585042066,0.0017079007082604423,0.002095524211031961
47,2012-11-23 19:11:22.194557,3.0569709323777534,4.598696193111672,1.9121433715393124,1.0,0.0038374642365672476,0.0022144969613577575,0.0025285643891208498
